"occupation_id","title","role_family","search_blob","employment_us","median_wage_usd","projection_growth_pct","exposure_prior_score","adaptive_capacity_prior_score","selector_weight","coverage_tier"
"occ_15_1244_00","Network and Computer Systems Administrators","software","systems administrator network and computer systems administrators ai security specialist (artificial intelligence security specialist) application security administrator application systems administrator computer systems security administrator e-mail system administrator enterprise systems administrator hardware installation coordinator information analyst information systems administrator information systems coordinator (is coordinator) information systems operator information technology administrator (it administrator) information technology specialist (it specialist) information technology technical support specialist (it technical support specialist) infrastructure administrator installation coordinator internet systems administrator internetwork expert (ccie) it systems admin (information technology systems administrator) lan specialist (local area network specialist) local area network administrator (lan administrator) local area network systems administrator (lan systems administrator) mainframe systems administrator mis manager (management information systems manager) network administrator network control analyst network coordinator network manager network professional (ccnp) network security administrator network support administrator network support coordinator network support manager network systems administrator network systems coordinator network transport administrator networking administrator provider network manager security administrator server administrator software manager system administrator (system admin) systems administrator (systems admin) systems operator systems specialist systems tester administrator virtualization engineer wide area network administrator (wan administrator) wide area network systems administrator (wan systems administrator) windows administrator","318570","96800","-4.2","0.233","0.559","0.61","launch"
"occ_27_3031_00","Public Relations Specialists","communications","pr specialist public relations specialists audience coordinator brand advocate communication specialist communications associate communications coordinator communications specialist community liaison community relations coordinator concert promoter consumer advocate content marketing specialist content specialist content strategist corporate communications specialist customer specialist digital communications specialist environmental communications specialist event promoter image consultant information and communications specialist information specialist internal communications specialist lobbyist marketing communications coordinator marketing communications specialist marketing coordinator media buyer media planner media relations specialist media specialist motivational speaker music publicist political advisor political aide press agent press secretary promotion specialist public affairs officer public affairs specialist public information officer public information specialist public relations consultant (pr consultant) public relations coordinator (pr coordinator) public relations counselor (pr counselor) public relations officer (pr officer) public relations representative (pr rep) public relations specialist public relations specialist (pr specialist) publicist publicity agent publicity consultant publicity expert publicity person publicity writer service promoter salesperson speech writer student ambassador sustainability communicator","280590","69780","4.8","0.234","0.643","0.61","launch"
"occ_43_3021_00","Billing and Posting Clerks","finance","billing clerk billing and posting clerks account clerk account services representative (accounts services rep) accounting assistant accounting machine operator accounts adjustable clerk accounts analyst accounts payable analyst accounts payable associate accounts payable clerk accounts payable coordinator accounts receivable analyst accounts receivable clerk (ar clerk) accounts receivable coordinator (ar coordinator) accounts service representative (accounts service rep) adding machine operator audit machine operator bill checker bill of lading clerk (bol clerk) bill of materials clerk (bom clerk) biller billing analyst billing assistant billing associate billing control clerk billing coordinator billing representative billing specialist billing typist bookkeeping assistant calculator operator check totaler check writer cod clerk (cash on delivery clerk) comptometer operator comptometrist cost recorder customer billing specialist delivery service pricer demurrage agent demurrage clerk demurrage worker deposit clerk deposit refund clerk documentation billing clerk electric accounting machine operator (eam operator) estimate clerk fee clerk financial processor foreign clerk freight rate analyst freight rate clerk freight rate specialist interline clerk invoice checker invoice clerk invoice control clerk invoice machine operator invoicing specialist item processing clerk (ip clerk) item processor laundry pricing clerk legal billing specialist machine biller medical biller medical billing clerk medical billing specialist medical insurance biller medical reimbursement specialist medical voucher clerk message service pricer patient account representative (patient account rep) post tronic machine operator posting clerk posting machine operator pre-audit clerk pre-billing specialist price lister pricer pricing clerk processing clerk proof machine operator rate clerk rate examiner rate marker rate reviewer rate setter rater rating clerk rating examiner receipt clerk receivables specialist reconciler reconciliation clerk reconciliation machine operator reconciliation processor reconciling clerk reimbursement specialist report clerk revenue cycle specialist revising clerk securities clerk services clerk settlement clerk spot billing clerk statement clerk statement distribution clerk statement processor statement rendering processor statement services representative (statement services rep) tax clerk telegraph service rater toll settlement clerk toll ticket clerk tonnage compilation clerk traffic rate clerk traffic rate computer voucher clerk yard demurrage clerk","417500","47170","-0.4","0.070","0.417","0.60","launch"
"occ_13_1041_00","Compliance Officers","operations","compliance officer compliance officers air pollution compliance inspector certified driver examiner (cde) certified driver license test administrator compliance administrator (compliance admin) compliance analyst compliance consultant compliance coordinator compliance examiner compliance investigator compliance professional compliance specialist cosmetology inspector department of motor vehicles clerk (dmv clerk) deportation examiner driver examiner driver license agent driver license examiner driver license reviewing officer driver license technician driver's license examiner eeo officer (equal employment opportunity officer) environmental compliance inspector equal employment opportunity investigator equal employment opportunity representative examiner forms examiner immigration investigator immigration officer industry operations investigator it compliance analyst (information technology compliance analyst) license examiner license inspector license registration examiner licensing analyst licensing inspector licensing officer licensing registration examiner licensing representative licensing technician mortician investigator motor vehicle clerk motor vehicle examiner motor vehicle inspector naturalization examiner passport application examiner passport clerk public service representative (psr) public service representative specialist (psr specialist) qualifications examiner regulation officer regulatory compliance analyst regulatory compliance specialist risk and compliance analyst road test examiner scales inspector security compliance analyst test examiner trade compliance specialist transportation services representative (tsr) wage and hour investigator weight and inspection coordinator weights and measures sealer","397770","78420","3","0.265","0.538","0.60","launch"
"occ_11_3021_00","Computer and Information Systems Managers","software","it manager computer and information systems managers application development director chief information security officer (ciso) computer and information systems manager computer operations manager computer programming manager computer security manager computer systems information director computing services director consulting technical director cyber workforce manager cybersecurity all-source collection manager cybersecurity all-source collection requirements manager data center manager data operations director data processing manager data systems manager development manager digital transformation director enterprise architecture director enterprise architecture manager information security manager information services manager information support project manager information systems administrator information systems director (is director) information systems manager information systems manager (is manager) information systems operator information systems supervisor (is supervisor) information technology account manager (it account manager) information technology administrator (it administrator) information technology coordinator (it coordinator) information technology director (it director) information technology manager (it manager) information technology systems director (its director) interactive media project manager internet and e-business project manager internet technology manager it infrastructure director (information technology infrastructure director) it portfolio manager (information technology portfolio manager) knowledge manager mis director (management information systems director) network director network manager product solutions manager product support manager programming and software development project manager software development director software engineering director software project manager system development manager systems development manager systems engineering manager systems tester administrator technical director technical services manager technical solutions director technical support content manager technology director technology manager","645970","171200","15.2","0.110","0.674","0.60","launch"
"occ_13_1081_00","Logisticians","operations","logistician logisticians acquisition analyst automated logistics specialist client services administrator delivery coordinator demand planner distribution associate distribution specialist inventory analyst logistics associate logistics clerk logistics coordinator logistics planner logistics specialist logistics team member logistics technician manufacturing planner material coordinator material planner materials planner operations planner planner production planner scheduler supply chain analyst supply chain associate supply chain consultant supply chain coordinator supply chain planner supply chain specialist supply management specialist supply planner transportation coordinator","235640","80880","16.7","0.157","0.621","0.60","launch"
"occ_27_3023_00","News Analysts, Reporters, and Journalists","journalism","journalist news analysts, reporters, and journalists anchor anchorman art critic basketball commentator blogger book critic book reviewer breaking news reporter broadcast journalist broadcast meteorologist broadcast news advisor business reporter business writer columnist commentator correspondent courtroom reporter critic cub reporter data journalist desk reporter digital commentator digital producer digital reporter dramatic critic editorial writer education reporter environmental journalist fashion journalist feature writer film critic financial writer food critic food writer foreign correspondent general assignment reporter general assignment television news reporter headline writer information writer investigative reporter law reporter leg man magazine journalist magazine writer marine reporter market news reporter market reporter media analyst morning news anchor motion picture critic movie critic multimedia journalist multimedia reporter music critic music journalist news analyst news anchor news commentator news correspondent news reporter news writer newscaster newspaper columnist newspaper correspondent newspaper journalist newspaper reporter newspaper writer political reporter press writer print journalist radio commentator radio news anchor radio news writer radio talk show host reporter soccer commentator society reporter sports analyst sports anchor sports commentator sports journalist sports reporter sports writer staff reporter staff writer television anchor television news anchor (tv news anchor) television news reporter television reporter (tv reporter) traffic reporter travel journalist travel writer volleyball commentator weather anchor weekend anchor","41550","60280","-3.9","0.205","0.567","0.60","launch"
"occ_13_1023_00","Purchasing Agents, Except Wholesale, Retail, and Farm Products","operations","purchasing agent purchasing agents, except wholesale, retail, and farm products buyer contract administrator (contract admin) contract analyst contract specialist contractor buyer contracts manager equipment, supplies, and tools purchasing agent fuel agent fuel buyer general purchasing agent log buyer lumber buyer media buyer ore buyer price analyst print buyer procurement agent procurement analyst procurement and contracting administrator (procurement and contracting admin) procurement and contracting buyer procurement coordinator procurement engineer procurement official procurement specialist pulpwood buyer pulpwood contractor purchaser purchasing administrator (purchasing admin) purchasing and contracts coordinator purchasing coordinator purchasing specialist railroad purchasing agent replenishment buyer sourcing specialist subcontract administrator (subcontract admin) subcontract associate timber buyer tools, supplies, and equipment purchasing agent","486900","75650","5.8","0.233","0.598","0.60","launch"
"occ_11_2022_00","Sales Managers","sales","sales manager sales managers account manager area sales manager area supervisor bd director (business development director) bd executive (business development executive) bd manager (business development manager) business developer channel manager client relationship manager commercial director commercial sales manager dealership manager department store manager district manager district sales manager division manager e-commerce director (electronic commerce director) export manager fractional sales executive global account manager (gam) hotel sales manager import export manager inside sales manager marketing sales supervisor national account manager national sales manager professional equipment sales and service manager regional director regional manager regional sales director regional sales manager retail chain store area supervisor retail district manager revenue manager sales account manager sales and marketing director sales and marketing manager sales and marketing vp (sales and marketing vice president) sales coordinator sales director sales operations manager (sales ops manager) sales promotion manager sales supervisor sales vp (sales vice president) territory manager territory sales manager utility sales and service manager vehicle leasing and rental manager zone manager","603710","138060","4.7","0.211","0.664","0.60","launch"
"occ_17_2051_00","Civil Engineers","engineering","civil engineer civil engineers airport engineer architectural engineer asphalt engineer base engineer bridge design engineer bridge engineer building construction engineer building engineer cadastral engineer cartographic engineer city engineer civil engineering intern civil project engineer concrete engineer condemnation engineer construction engineer construction project engineer contracting engineer county engineer demolition engineer design engineer district engineer drainage design coordinator drainage engineer energy infrastructure engineer engineer environmental construction engineer erecting engineer facilities engineer forest engineer forestry engineer foundation engineer geodetic engineer geotechnical engineer heavy civil project manager highway design engineer highway engineer highway research engineer highway safety engineer hydraulic engineer hydroelectric plant structural engineer hydrographic engineer irrigation engineer land development civil engineer licensed engineer maintenance engineer mapping engineer municipal engineer process engineer project engineer railroad design consultant railroad engineer reclamation engineer research hydraulic engineer resident engineer resource recovery engineer road design engineer road engineer roadway engineer sanitary engineer site civil engineer street engineer stress engineer structural design engineer structural designer structural engineer structural project engineer structural steel engineer topographical engineer track production engineer traveling engineer utility engineer wastewater plant civil engineer zoning engineer","355410","99590","5","0.465","0.617","0.58","launch"
"occ_13_2072_00","Loan Officers","finance","loan officer loan officers agricultural loan officer bank officer bank representative banking services officer branch banker branch lending officer business banker business banking officer commercial banker commercial lender commercial loan collection officer commercial loan officer commercial mortgage broker commercial relationship manager consumer lending specialist consumer loan officer consumer loan specialist corporate banking officer eligibility consultant escrow officer farm loan representative farm mortgage agent financial aid administrator financial aid advisor financial aid coordinator financial aid counselor financial aid officer financial aid technician financial assistance advisor financial assistance specialist financial counselor home lending advisor home lending officer lender lending officer loan administrator loan adviser loan analyst loan approver loan auditor loan consultant loan coordinator loan counselor loan examiner loan interviewer loan originator loan reviewer loan service officer loan servicing specialist loan specialist loan underwriter loan workout officer mortgage banker mortgage broker mortgage closer mortgage consultant mortgage loan closer mortgage loan officer mortgage loan originator mortgage loan underwriter mortgage originator mortgage servicer mortgage specialist mortgage underwriter peer financial counselor personal banking officer personal loan specialist portfolio manager real estate loan officer real estate officer small business banking officer underwriter","290530","74180","1.7","0.267","0.563","0.58","launch"
"occ_11_9041_00","Architectural and Engineering Managers","engineering","engineering manager architectural and engineering managers architect manager architectural project manager civil engineering manager civil project manager (civil pm) data engineering director data engineering manager electrical engineering director electrical engineering manager electrical project manager (electrical pm) electronics engineering manager engineering design manager engineering director engineering group manager engineering program manager engineering project manager engineering project specialist engineering research manager engineering supervisor environmental engineering manager global engineering manager mechanical engineering director mechanical engineering manager mechanical project manager (mpm) process engineering manager product development director project coordinator project engineering manager project manager prototype engineer manager research and development manager (r&d manager) research development manager research manager technical manager transmitter engineer-in-charge","210340","167740","3.8","0.449","0.656","0.56","launch"
"occ_13_1031_00","Claims Adjusters, Examiners, and Investigators","operations","claims adjuster claims adjusters, examiners, and investigators accident investigator adjuster adjustment clerk auto claims adjuster (automotive claims adjuster) auto damage claims adjuster (automotive damage claims adjuster) benefit authorizer bodily injury claims adjuster bodily injury claims examiner claims account specialist claims adjustor claims agent claims analyst claims approver claims auditor claims consultant claims examiner claims inspector claims investigator claims processor claims representative claims service adjustor claims service specialist claims specialist clerical adjuster commercial insurance inspector compensation adjuster corporate claims examiner disability analyst disability examiner disability specialist field claims adjuster field investigator field liability generalist field property claims adjuster field property claims specialist fire adjuster fire claims adjuster general adjuster health claims examiner health insurance adjuster home office claims examiner home office claims specialist independent insurance adjuster independent insurance agent insurance adjuster insurance appraiser insurance auditor insurance claims adjuster insurance examiner insurance fraud investigator insurance inspector insurance investigator investigator liability claims examiner liability claims representative litigation claims representative litigation examiner medical claims analyst medical claims examiner medical claims specialist professional liability claims specialist property adjuster property and casualty insurance claims examiner property claims adjuster property damage claims adjustor reinsurance claims analyst residential insurance inspector salvage determiner workers' compensation claims adjuster workers' compensation claims examiner workers' compensation claims representative workers' compensation examiner","305020","76790","-5.1","0.164","0.495","0.56","launch"
"occ_43_1011_00","First-Line Supervisors of Office and Administrative Support Workers","admin","office support supervisor first-line supervisors of office and administrative support workers accounting administrator accounting clerks supervisor accounting director accounting manager accounting supervisor accounts payable manager accounts payable supervisor accounts receivable manager accounts receivable supervisor adjustment supervisor administrative coordinator administrative officer administrative supervisor administrative support manager admissions supervisor admitting officer advertising dispatch clerks supervisor agency appointments supervisor airline ticket sales and reservations supervisor animal hospital office supervisor assembly stock supervisor audit clerks supervisor auto club safety program coordinator automobile club safety program coordinator automotive service advisor baggage agent supervisor banking supervisor billing administrator billing department supervisor billing supervisor booking supervisor bookkeepers supervisor bookkeeping clerks supervisor boxing and pressing supervisor branch office administrator (branch office admin) business manager business office manager call center director call center manager call center supervisor cargo supervisor cashiers supervisor central office operator supervisor central office telephone operators supervisor central supply manager central supply supervisor central supply technician supervisor claims adjuster supervisor claims supervisor classified advertising supervisor clerical supervisor clerk supervisor client success manager coding clerks supervisor coin machine collector supervisor collection supervisor collections manager communication center coordinator complaint evaluation supervisor computer operations supervisor contact and service clerks supervisor correspondence section supervisor cost and sales record supervisor cost control supervisor credit and loan collections supervisor customer care manager customer complaint service supervisor customer experience coordinator (cx coordinator) customer experience manager customer manager customer records division supervisor customer service administrator customer service director customer service manager customer service representative supervisor customer service supervisor customer services supervisor customer success manager data control clerk supervisor data entry supervisor data processing supervisor delivery department supervisor dispatch manager documentation supervisor facilities manager field service manager files supervisor film vault supervisor financial aid director flight reservations manager floor space allocator food checkers and cashiers supervisor force adjustment supervisor front end manager front end supervisor front office manager front office supervisor gate services supervisor home energy consultant supervisor hospital admissions officer inventory administrator inventory control manager inventory control supervisor inventory specialist manager keypunch operators supervisor lending activities supervisor machine records units supervisor magazine supervisor mail carriers supervisor mail clerks supervisor mail sorting supervisor mail supervisor mailing manager mailroom supervisor marking room supervisor medical billing manager medical billing supervisor meter readers supervisor money room supervisor office administrator (office admin) office coordinator office manager office services supervisor office supervisor operators school manager order takers supervisor passenger service supervisor pay station department manager payroll administrator payroll manager payroll master payroll supervisor pbx supervisor (private branch exchange supervisor) personnel clerks supervisor petroleum inspector supervisor policy change clerks supervisor postal supervisor practice manager production clerks supervisor production control supervisor proof machine operator supervisor property master public message service supervisor purchasing and claims supervisor rate supervisor real estate office supervisor records supervisor regulatory administrator route supervisor sack department supervisor safety deposit supervisor schedule supervisor script supervisor securities vault supervisor services manager space control supervisor staff services manager statement clerks manager statement clerks supervisor steno pool supervisor stock control supervisor stock room manager stock supervisor stockroom supervisor support manager survey workers supervisor switchboard operator supervisor tabulating supervisor tariff supervisor telecommunicator supervisor telegraphic typewriter operators supervisor telephone clerks supervisor telephone information supervisor telephone operators supervisor telephone order supervisor telephone solicitor supervisor teller supervisor tellers supervisor ticket sales supervisor timekeeping supervisor toll collector supervisor tool crib manager tool crib supervisor transcribing operators supervisor travel information center supervisor trust accounts supervisor typing pool supervisor typists supervisor underwriting clerks supervisor want ad supervisor ward service supervisor warranty administrator warranty manager weigh boss word processing supervisor","1495580","66140","-0.3","0.244","0.432","0.56","launch"
"occ_17_2112_00","Industrial Engineers","engineering","industrial engineer industrial engineers continuous improvement engineer district plant engineer documentation engineer efficiency analyst efficiency engineer efficiency expert engineer engineering inspector facilities engineer factory engineer factory expert factory lay out engineer factory lay-out engineer field engineer industrial engineering intern industrial methods consultant liaison engineer logistics engineer manufacturing engineer methods engineer metrologist operations engineer packaging engineer plant engineer process engineer process improvement manager production control expert production control planner production engineer production engineering tooling coordinator production expert production support engineer production tool engineer project engineer quality assurance engineer (qa engineer) quality control engineer (qc engineer) quality control expert (qc expert) quality control industrial engineer (qc industrial engineer) quality engineer research and development engineer (r and d engineer) salvage engineer standards engineer supplier quality engineer (sqe) systems engineer test inspection engineer time study engineer","350230","101140","11","0.419","0.589","0.56","launch"
"occ_41_3021_00","Insurance Sales Agents","sales","insurance agent insurance sales agents account representative account specialist auto insurance agent (automotive insurance agent) bilingual insurance sales agent bond writer burial agent commercial lines account manager compensation agent customer relations rep (customer relations representative) cyber insurance policy specialist debit agent district agent enrollment specialist estate planner field marketing representative field representative field service representative group insurance special agent group insurance specialist health insurance agent health insurance sales agent health insurance specialist inside sales representative insurance agent team member insurance broker insurance producer insurance representative insurance sales agent insurance sales representative (insurance sales rep) insurance salesman insurance salesperson insurance solicitor insurance special agent insurance specialist insurance verification specialist licensed health insurance agent licensed health insurance sales agent licensed insurance agent licensed life insurance agent licensed medicare insurance agent life insurance agent life insurance producer life insurance sales agent life insurance sales representative (life insurance sales rep) life insurance salesperson network contractor outside sales representative pension agent policy sales representative sales agent sales associate sales representative sales special agent sales specialist solicitor underwriting sales representative","469480","60370","3.7","0.265","0.551","0.56","launch"
"occ_11_2021_00","Marketing Managers","marketing","marketing manager marketing managers account supervisor brand manager business developer business development director business development manager category manager channel manager commercial director commercial lines manager demand generation manager digital marketing manager digital product manager fashion coordinator fashion marketer growth marketing manager internet marketing manager market analysis director market development executive market research manager marketing administrator marketing communications manager marketing coordinator marketing director marketing executive marketing operations director marketing product manager marketing sales supervisor media marketing director membership director pricing manager product line manager (plm) product management director product manager product marketing manager sales and marketing director sales and marketing manager sales and marketing vice president (sales and marketing vp) sales marketing director sustainable products marketing manager technical product manager world trade and maritime division manager","384980","161030","6.6","0.141","0.683","0.56","launch"
"occ_43_4171_00","Receptionists and Information Clerks","admin","receptionist receptionists and information clerks appointment clerk appointment scheduler appointment setter automobile club information clerk (auto club info clerk) bilingual receptionist call center agent call center operator call center representative (call center rep) call taker clerk specialist clinic receptionist customer care representative (ccr) dental receptionist er clerk (emergency room clerk) front desk associate front desk clerk front desk coordinator front desk officer front desk receptionist front office receptionist greeter guard entrance registrar hospital receptionist hospitality aide in file operator information assistant (info assistant) information clerk information receptionist (info receptionist) land leasing examiner land leasing information clerk (land leasing info clerk) legal receptionist medical office receptionist medical receptionist medical scheduler member services representative (member services rep) office assistant outpatient clerk pay station attendant people greeter policyholder information clerk (policyholder info clerk) quoter referral and information aide (referral and info aide) referral coordinator register clerk registrar registration clerk research clerk salon receptionist schedule announcer scheduler spa receptionist space scheduler telephone answerer telephone appointment clerk telephone clerk telephone information clerk (telephone info clerk) telephone operator telephone operator receptionist telephone quotation clerk tourist information assistant (tourist info assistant) utility clerk","964530","37230","0","0.121","0.305","0.56","launch"
"occ_15_1241_00","Computer Network Architects","software","network architect computer network architects cloud architect cloud network engineer computer network analyst computer network engineer computer network technologist data communications analyst enterprise architect enterprise network architect infrastructure architect internetworking technician (internetworking tech) it analyst (information technology analyst) it network engineer (information technology network engineer) network analyst network computer consultant network consultant network control analyst network control analyst assistant network designer network developer network operations analyst (network ops analyst) network operations specialist (network ops specialist) network security analyst network security systems analyst network specialist network systems analyst network systems consultant network systems engineer network systems integrator networking engineer networking specialist networking systems engineer noc engineer (network operations center engineer) pc network engineer (personal computer network engineer) platform architect principal network engineer server engineer solutions architect solutions engineer system programmer systems engineer target network analyst telecommunications analyst (telecom analyst) wan engineer (wide area network engineer) wireless engineer wireless network engineer","177010","130390","11.9","0.142","0.647","0.55","launch"
"occ_13_1051_00","Cost Estimators","operations","cost estimator cost estimators acquisition cost estimator analyst building construction estimator building estimator civil estimator commercial construction estimator commercial estimator commercial roofing estimator concrete estimator construction estimator construction job cost estimator cost analyst cost consultant cost engineer cost estimating analyst cost recovery technician (cost recovery tech) crating and moving estimator drywall estimator electrical estimator estimating analyst estimating specialist estimator flooring estimator heavy civil estimator industrial estimator investment recovery technician (investment recovery tech) job cost estimator job estimator mechanical estimator plumbing estimator print estimator printing estimator production cost estimator project estimator quantity surveyor sales estimator service advisor service writer structural steel estimator","219530","77070","-4.2","0.460","0.434","0.55","launch"
"occ_11_3121_00","Human Resources Managers","hr","hr manager human resources managers diversity and inclusion director diversity manager efficiency manager employee relations manager employee welfare manager employment manager hr admin director (human resources administration director) hr coordinator (human resources coordinator) hr department supervisor (human resources department supervisor) hr director (human resources director) hr manager (human resources manager) hr ops manager (human resources operations manager) hr supervisor (human resources supervisor) hr vp (human resources vice president) human resources manager human services manager industrial relations director industrial relations manager labor relations director labor relations manager people operations manager personnel director personnel generalist manager personnel manager placement director position description manager recruiting manager recruitment director recruitment manager staffing manager talent acquisition director talent acquisition manager workforce manager","215520","140030","5","0.285","0.549","0.55","launch"
"occ_15_1212_00","Information Security Analysts","software","security analyst information security analysts ai security specialist (artificial intelligence security specialist) all-source analyst application security analyst applications security analyst automatic data processing systems security specialist (adp systems security) blue team member certified information systems security professional (cissp) cloud security architect cloud security engineer computer security coordinator computer security information specialist computer security specialist computer systems security analyst counterespionage analyst cryptological technician cryptologist cyber defense analyst cyber defense forensics analyst cyber incident responder cyber information security analyst cyber intel planner cyber intelligence specialist cyber operations planner (cyber ops planner) cyber operations specialist cyber operator cyber policy and strategy planner cyber security analyst cyber security specialist cyber security support technician cybersecurity all-source analyst cybersecurity analyst cybersecurity engineer cybersecurity exploitation analyst cybersecurity incident response analyst cybersecurity multi-disciplined language analyst cybersecurity partner integration planner cybersecurity specialist cybersecurity target developer cybersecurity target network analyst cybersecurity threat analyst cybersecurity warning analyst data security analyst database security expert exploitation analyst incident responder incident response analyst incident response manager industrial internet of things security specialist (iiot security specialist) information assurance analyst information security analyst information security officer information security specialist information systems security analyst information systems security officer (isso) information systems security specialist information technology analyst (it analyst) information technology consultant (it consultant) information technology security analyst (it security analyst) information technology security architect (it security architect) international affairs specialist internet of things security specialist (iot security specialist) internet security specialist intrusion detection analyst it auditor (information technology auditor) it risk specialist (information technology risk specialist) mission assessment specialist network security analyst network security officer network security systems analyst red team member security auditor security consultant security control assessor security operations analyst security operations center analyst (soc analyst) security specialist source code auditor supervisory control and data acquisition security analyst (scada security analyst) systems analyst systems security analyst systems security specialist technology analyst threat hunter threat monitoring analyst virus technician warning analyst","179430","124910","28.5","0.134","0.468","0.55","launch"
"occ_43_4131_00","Loan Interviewers and Clerks","finance","loan clerk loan interviewers and clerks closer closing agent closing coordinator commercial loan processor consumer loan processor credit clerk disbursement clerk document coordinator document processor financial services specialist financial solutions specialist financial specialist investigator lending clerk licensed loan officer assistant loan analyst loan assistant loan close and funder loan closer loan documentation specialist loan expeditor loan inspector loan interviewer loan operations specialist loan originator loan processor loan representative loan secretary mortgage broker mortgage clerk mortgage closing clerk mortgage loan assistant mortgage loan closer mortgage loan interviewer mortgage loan processing clerk mortgage loan processor mortgage processing clerk mortgage processor post closer post closing specialist","173100","48950","-2.3","0.198","0.453","0.55","launch"
"occ_13_2052_00","Personal Financial Advisors","finance","financial advisor personal financial advisors account manager asset analyst asset manager budget counselor certified financial planner (cfp) chartered financial analyst (cfa) client advisor credit counselor debt counselor estate planner estate planning counselor estate trustee finance consultant financial advisor associate financial agent financial consultant financial coordinator financial counselor financial investment adviser financial investment advisor financial life planner financial planner financial relationship consultant financial retirement plan specialist financial solutions advisor fiscal specialist individual pension adviser individual pension consultant insurance advisor insurance consultant investment advisor investment consultant investment counselor investment representative (investment rep) money manager patient financial counselor pension advisor pension consultant personal banker personal financial advisor personal financial counselor personal financial planner personal investment advisor portfolio manager private client advisor private wealth management associate (pwm associate) securities consultant securities counselor socially responsible investment advisor (sri advisor) strategist wealth advisor wealth management advisor wealth management associate wealth manager","270480","102140","9.6","0.130","0.654","0.55","launch"
"occ_41_3031_00","Securities, Commodities, and Financial Services Sales Agents","sales","financial services sales agent securities, commodities, and financial services sales agents account administrator account manager account specialist bank and savings securities trader banker banker associate block trader bond broker bond trader branch banker branch relationship banker branch sales representative branch service representative broker business banker business banking relationship manager buyer chartered financial analyst (cfa) client administrator client service associate commodities broker commodities trader customer agent day trader dealer energy trader equities trader equity trader field marketing representative finance specialist financial advisor financial consultant financial report service sales agent financial representative financial sales advisor financial services agent financial services associate financial services representative financial services sales representative financial specialist fiscal specialist floor broker floor trader flow trader foreign exchange trader (forex trader) futures trader grain broker hedge fund trader hybrid derivatives trader inside sales representative insurance and financial services agent investment banker investment consultant investment officer investment representative investments advisor investments manager investments specialist loan broker market maker market operator money manager municipal bonds trader mutual funds agent mutual funds sales agent online trader options trader outside sales representative personal banker personal banker associate premier banker private banker private client banker proprietary trader quantitative trader real-time energy trader real-time trader registered representative relationship banker retail personal banker sales advisor sales associate sales consultant sales professional sales representative securities adviser securities lending trader securities sales representative securities trader select banker services investment specialist speculator stock associate stock broker stock speculator stock trader trader trading specialist trust officer wholesale account executive","472300","78140","3.3","0.090","0.602","0.55","launch"
"occ_43_9041_00","Insurance Claims and Policy Processing Clerks","operations","claims processing clerk insurance claims and policy processing clerks agency service representative (agency service rep) auto claims rep (automotive claims representative) auto liability claims rep (automotive liability claims representative) billing and insurance coordinator bodily injury claims representative (bodily injury claims rep) cancellation clerk claim representative (claims rep) claims adjudicator claims analyst claims assistant claims associate claims clerk claims coordinator claims customer service representative (claims csr) claims processing specialist (cps) claims processor claims representative (claims rep) claims service representative (claims service rep) claims sorter claims taker claims technician (claims tech) client process specialist commercial lines underwriting assistant cyber insurance policy specialist dental insurance coordinator document processor document reviewer enrollment representative field claims representative insurance analyst insurance assistant insurance associate insurance authorization specialist insurance biller insurance checker insurance claims clerk insurance claims processor insurance clerk insurance coordinator insurance customer service representative (insurance csr) insurance examining clerk insurance policy issue clerk insurance processing clerk insurance processor insurance specialist insurance verification specialist liability claims representative medical claims processor medical insurance claims processor medical insurance specialist open claims representative (ocr) personal lines insurance customer service representative (personal lines insurance csr) policy analyst policy change clerk policy checker policy issue clerk policy processing clerk policy title typist premium representative processing clerk reimbursement counselor reinsurance clerk reviewer revival clerk underwriting assistant underwriting associate underwriting clerk workers' compensation claims assistant","229070","48450","-3.7","0.243","0.337","0.54","launch"
