occupation_id,title,human_constraint_target,human_constraint_confidence,adoption_context_target,adoption_context_confidence,demand_context_target,demand_context_confidence,wage_leverage_target,wage_leverage_confidence,routine_pressure_target,routine_pressure_confidence,recomposition_context_target,recomposition_context_confidence,wave_timing_target,wave_timing_confidence,specialization_resilience_target,specialization_resilience_confidence,role_heterogeneity_target,role_heterogeneity_confidence,model_human_guardrail,model_adoption_context,model_demand_context,model_wage_leverage,model_routine_pressure,model_recomposition_context,model_wave_timing,model_specialization_resilience,model_role_fragmentation,human_constraint_gap,adoption_context_gap,demand_context_gap,wage_leverage_gap,routine_pressure_gap,recomposition_context_gap,wave_timing_gap,specialization_resilience_gap,role_heterogeneity_gap,human_constraint_review,adoption_context_review,demand_context_review,wage_leverage_review,routine_pressure_review,recomposition_context_review,wave_timing_review,specialization_resilience_review,role_heterogeneity_review,observed_individual_exposure,individual_vs_org_gap,individual_usage_direction,individual_usage_source_flag,individual_usage_confidence,individual_usage_gap,individual_usage_review,external_context_exception,external_context_note,quality_source_mix,ors_source_mix,heterogeneity_source_mix,btos_source_mix,adaptation_source_mix,labor_release_year,highest_review_tier,primary_review_layer,primary_review_strength,primary_review_score,primary_review_reason,notes
occ_15_1232_00,Computer User Support Specialists,0.327,0.806,0.427,0.865,0.179,0.85,0.214,0.85,0.343,0.6,0.603,0.84,0.522,0.84,0.518,0.6,0.364,0.827,0.5,0.427,0.36,0.464,0.402,0.46,0.616,0.503,0.371,0.173,0,0.181,0.25,0.059,0.144,0.094,0.015,0.007,low,ok,medium,high,ok,low,ok,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,accountability_guardrails,strong,0.16,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.935|btos_percentile=0.850|derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12|routine_share=0.120|people_share=0.160|knowledge_share=0.540|job_zone_norm=0.500|adoption_realization_context=0.810|demand_expansion_context=0.191|labor_context_2024
occ_15_1241_00,Computer Network Architects,,0,0.445,0.864,0.603,0.85,0.722,0.85,0.275,0.66,0.656,0.853,0.631,0.853,0.625,0.66,0.334,0.83,0.681,0.456,0.52,0.627,0.346,0.484,0.6,0.636,0.271,,0.011,0.083,0.095,0.072,0.172,0.031,0.011,0.063,ok,ok,ok,ok,ok,low,ok,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,recomposition_and_timing,medium,0.147,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.949|btos_percentile=0.933|derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12|routine_share=0.120|people_share=0.160|knowledge_share=0.540|job_zone_norm=0.750|adoption_realization_context=0.880|demand_expansion_context=0.499|labor_context_2024
occ_15_1244_00,Network and Computer Systems Administrators,0.367,0.721,0.39,0.841,0.155,0.85,0.532,0.85,0.282,0.63,0.518,0.829,0.449,0.829,0.59,0.63,0.339,0.838,0.528,0.407,0.149,0.478,0.396,0.423,0.617,0.522,0.354,0.161,0.016,0.006,0.054,0.114,0.095,0.169,0.068,0.015,low,ok,ok,ok,ok,ok,low,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,accountability_guardrails,strong,0.133,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.884|btos_percentile=0.683|derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12|routine_share=0.120|people_share=0.160|knowledge_share=0.540|job_zone_norm=0.750|adoption_realization_context=0.669|demand_expansion_context=0.171|labor_context_2024
occ_15_1252_00,Software Developers,0.389,0.721,0.438,0.882,0.654,0.85,0.758,0.85,0.273,0.55,0.644,0.841,0.635,0.841,0.632,0.55,0.328,0.81,0.535,0.467,0.549,0.513,0.361,0.493,0.6,0.537,0.356,0.146,0.029,0.105,0.245,0.088,0.15,0.035,0.094,0.028,low,ok,ok,high,ok,low,ok,ok,ok,0.288,-0.361,org_higher,review,0.65,0.179,low,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,recomposition_and_timing,medium,0.126,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.970|btos_percentile=0.900|derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12|routine_share=0.120|people_share=0.160|knowledge_share=0.540|job_zone_norm=0.750|adoption_realization_context=0.863|demand_expansion_context=0.549|labor_context_2024|recomposition_usage_damp=0.294|individual_usage_flag=review|direction=org_higher
occ_15_1253_00,Software Quality Assurance Analysts and Testers,,0,0.434,0.874,0.601,0.85,0.677,0.85,0.277,0.55,0.641,0.836,0.623,0.836,0.613,0.55,0.337,0.783,0.611,0.453,0.531,0.565,0.363,0.48,0.6,0.579,0.303,,0.019,0.07,0.112,0.086,0.161,0.023,0.034,0.034,ok,ok,ok,ok,ok,low,ok,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,recomposition_and_timing,medium,0.135,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.949|btos_percentile=0.883|derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12|routine_share=0.120|people_share=0.160|knowledge_share=0.540|job_zone_norm=0.750|adoption_realization_context=0.847|demand_expansion_context=0.518|labor_context_2024
occ_15_2031_00,Operations Research Analysts,,0,0.383,0.703,0.747,0.85,0.601,0.85,0.153,0.47,0.492,0.687,0.538,0.687,0.755,0.47,0.362,0.782,0.625,0.401,0.661,0.634,0.307,0.383,0.501,0.615,0.301,,0.018,0.086,0.033,0.155,0.108,0.038,0.14,0.061,ok,ok,ok,ok,low,ok,ok,low,ok,0.429,0.105,individual_higher,watch,0.65,0.027,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,recomposition_and_timing,medium,0.074,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.500|btos_percentile=0.650|derived_launch_aggregate|knowledge_share=0.74|people_share=0.12|routine_share=0.00|routine_share=0.000|people_share=0.120|knowledge_share=0.740|job_zone_norm=1.000|adoption_realization_context=0.592|demand_expansion_context=0.667|labor_context_2024|individual_usage_flag=watch|direction=individual_higher
occ_15_2051_00,Data Scientists,,0,0.405,0.869,0.823,0.85,0.815,0.85,0.205,0.51,0.587,0.825,0.637,0.825,0.718,0.51,0.36,0.796,0.635,0.457,0.708,0.635,0.314,0.453,0.6,0.612,0.292,,0.052,0.115,0.18,0.108,0.134,0.037,0.107,0.068,ok,ok,ok,low,ok,low,ok,ok,ok,0.461,0.356,individual_higher,review,0.65,0.004,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,recomposition_and_timing,medium,0.111,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.947|btos_percentile=0.750|derived_launch_aggregate|knowledge_share=0.74|people_share=0.12|routine_share=0.00|routine_share=0.000|people_share=0.120|knowledge_share=0.740|job_zone_norm=0.750|adoption_realization_context=0.748|demand_expansion_context=0.761|labor_context_2024|individual_usage_flag=review|direction=individual_higher
occ_17_2051_00,Civil Engineers,0.498,0.593,0.416,0.863,0.444,0.85,0.56,0.85,0.336,0.55,0.611,0.828,0.569,0.828,0.575,0.55,0.319,0.81,0.647,0.431,0.458,0.6,0.34,0.464,0.537,0.618,0.264,0.149,0.015,0.014,0.04,0.004,0.147,0.031,0.044,0.055,low,ok,ok,ok,ok,low,ok,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,recomposition_and_timing,medium,0.122,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.926|btos_percentile=0.800|derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21|routine_share=0.210|people_share=0.120|knowledge_share=0.480|job_zone_norm=0.750|adoption_realization_context=0.768|demand_expansion_context=0.391|labor_context_2024
occ_17_2071_00,Electrical Engineers,,0,0.317,0.847,0.513,0.85,0.681,0.85,0.334,0.48,0.436,0.81,0.434,0.81,0.582,0.48,0.342,0.785,0.663,0.367,0.471,0.588,0.331,0.369,0.507,0.612,0.28,,0.05,0.042,0.093,0.004,0.066,0.073,0.03,0.062,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,ok,recomposition_and_timing,medium,0.053,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.946|btos_percentile=0.350|derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21|routine_share=0.210|people_share=0.120|knowledge_share=0.480|job_zone_norm=0.750|adoption_realization_context=0.458|demand_expansion_context=0.431|labor_context_2024
occ_17_2072_00,"Electronics Engineers, Except Computer",,0,0.317,0.847,0.479,0.85,0.746,0.85,0.333,0.59,0.44,0.832,0.433,0.832,0.585,0.59,0.342,0.824,0.655,0.364,0.462,0.586,0.336,0.367,0.584,0.607,0.289,,0.047,0.017,0.16,0.002,0.073,0.152,0.022,0.053,ok,ok,ok,low,ok,ok,low,ok,ok,0.1,-0.398,org_higher,review,0.65,0.264,medium,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,bargaining_power,weak,0.082,Wage-leverage mismatch points to retained bargaining-power weights or function-level leverage assumptions.,launch_stub_generated|btos_covered_share=0.946|btos_percentile=0.350|derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21|routine_share=0.210|people_share=0.120|knowledge_share=0.480|job_zone_norm=0.750|adoption_realization_context=0.457|demand_expansion_context=0.404|labor_context_2024|recomposition_usage_damp=0.360|individual_usage_flag=review|direction=org_higher
occ_17_2112_00,Industrial Engineers,0.564,0.678,0.251,0.869,0.625,0.85,0.552,0.85,0.334,0.54,0.288,0.831,0.336,0.831,0.584,0.54,0.336,0.806,0.635,0.3,0.524,0.6,0.305,0.281,0.462,0.617,0.28,0.071,0.049,0.101,0.048,0.029,0.006,0.126,0.033,0.056,ok,ok,ok,ok,ok,ok,low,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,accountability_guardrails,strong,0.055,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.945|btos_percentile=0.050|derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21|routine_share=0.210|people_share=0.120|knowledge_share=0.480|job_zone_norm=0.750|adoption_realization_context=0.167|demand_expansion_context=0.538|labor_context_2024
occ_17_2141_00,Mechanical Engineers,0.359,0.636,0.258,0.879,0.548,0.85,0.621,0.85,0.335,0.58,0.294,0.847,0.324,0.847,0.581,0.58,0.324,0.82,0.556,0.301,0.481,0.542,0.335,0.282,0.465,0.566,0.319,0.197,0.043,0.067,0.079,0,0.013,0.142,0.016,0.005,medium,ok,ok,ok,ok,ok,low,ok,ok,0.081,-0.097,aligned,ok,0.65,0.22,medium,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,accountability_guardrails,strong,0.144,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.971|btos_percentile=0.083|derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21|routine_share=0.210|people_share=0.120|knowledge_share=0.480|job_zone_norm=0.750|adoption_realization_context=0.197|demand_expansion_context=0.458|labor_context_2024
occ_23_1011_00,Lawyers,0.571,0.763,,0,0.365,0.85,0.927,0.85,0.24,0.54,0.379,0.371,0.363,0.371,0.621,0.54,0.277,0.416,0.785,0.313,0.451,0.699,0.279,0.307,0.46,0.722,0.185,0.214,,0.086,0.228,0.039,0.072,0.097,0.101,0.092,medium,ok,ok,high,ok,ok,ok,ok,ok,0.167,-0.257,org_higher,review,0.65,0.146,low,acs_btos_no_rows_reviewed_exception,ACS and BTOS do not resolve this occupation cleanly; review it through ORS plus task/function structure instead of forcing a synthetic external join.,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,accountability_guardrails,strong,0.188,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|derived_launch_aggregate|knowledge_share=0.30|people_share=0.33|routine_share=0.20|routine_share=0.200|people_share=0.330|knowledge_share=0.300|job_zone_norm=1.000|adoption_realization_context=0.342|demand_expansion_context=0.315|labor_context_2024|recomposition_usage_damp=0.103|external_context_exception=acs_btos_no_rows_reviewed_exception|individual_usage_flag=review|direction=org_higher
occ_23_2011_00,Paralegals and Legal Assistants,0.33,0.763,0.449,0.864,0.444,0.85,0.246,0.85,0.364,0.51,0.671,0.817,0.659,0.817,0.465,0.51,0.275,0.796,0.492,0.491,0.534,0.399,0.477,0.529,0.6,0.473,0.371,0.162,0.042,0.09,0.153,0.113,0.142,0.059,0.008,0.096,low,ok,ok,low,ok,low,ok,ok,ok,0.293,-0.387,org_higher,review,0.65,0.198,medium,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,accountability_guardrails,strong,0.142,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.905|btos_percentile=0.950|derived_launch_aggregate|knowledge_share=0.30|people_share=0.33|routine_share=0.20|routine_share=0.200|people_share=0.330|knowledge_share=0.300|job_zone_norm=0.500|adoption_realization_context=0.915|demand_expansion_context=0.516|labor_context_2024|recomposition_usage_damp=0.341|individual_usage_flag=review|direction=org_higher
occ_27_1024_00,Graphic Designers,0.316,0.678,0.423,0.883,0.439,0.85,0.294,0.85,0.255,0.65,0.622,0.862,0.602,0.862,0.606,0.65,0.355,0.836,0.476,0.463,0.545,0.486,0.372,0.474,0.6,0.507,0.347,0.16,0.039,0.106,0.192,0.116,0.148,0.002,0.098,0.008,low,ok,ok,medium,ok,low,ok,ok,ok,0.367,-0.181,org_higher,watch,0.65,0.095,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,recomposition_and_timing,medium,0.128,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.972|btos_percentile=0.833|derived_launch_aggregate|knowledge_share=0.57|people_share=0.19|routine_share=0.08|routine_share=0.080|people_share=0.190|knowledge_share=0.570|job_zone_norm=0.750|adoption_realization_context=0.821|demand_expansion_context=0.472|labor_context_2024|individual_usage_flag=watch|direction=org_higher
occ_27_3023_00,"News Analysts, Reporters, and Journalists",,0,0.46,0.878,0.326,0.85,0.363,0.85,0.243,0.66,0.613,0.864,0.604,0.864,0.59,0.66,0.337,0.807,0.665,0.487,0.528,0.6,0.322,0.508,0.6,0.62,0.27,,0.027,0.202,0.237,0.079,0.105,0.004,0.029,0.067,ok,ok,medium,high,ok,ok,ok,ok,ok,0.21,-0.74,org_higher,review,0.65,0.277,medium,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,bargaining_power,weak,0.121,Wage-leverage mismatch points to retained bargaining-power weights or function-level leverage assumptions.,launch_stub_generated|btos_covered_share=0.984|btos_percentile=1.000|derived_launch_aggregate|knowledge_share=0.51|people_share=0.29|routine_share=0.08|routine_share=0.080|people_share=0.290|knowledge_share=0.510|job_zone_norm=0.750|adoption_realization_context=0.965|demand_expansion_context=0.407|labor_context_2024|recomposition_usage_damp=0.450|individual_usage_flag=review|direction=org_higher
occ_27_3031_00,Public Relations Specialists,0.543,0.678,0.394,0.835,0.567,0.85,0.427,0.85,0.224,0.57,0.548,0.812,0.564,0.812,0.56,0.57,0.321,0.807,0.604,0.424,0.585,0.552,0.332,0.416,0.517,0.587,0.317,0.061,0.03,0.018,0.125,0.108,0.132,0.047,0.028,0.004,ok,ok,ok,low,ok,low,ok,ok,ok,0.453,0.105,individual_higher,watch,0.65,0.029,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,recomposition_and_timing,medium,0.107,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.868|btos_percentile=0.700|derived_launch_aggregate|knowledge_share=0.28|people_share=0.53|routine_share=0.11|routine_share=0.110|people_share=0.530|knowledge_share=0.280|job_zone_norm=0.750|adoption_realization_context=0.709|demand_expansion_context=0.573|labor_context_2024|individual_usage_flag=watch|direction=individual_higher
