occupation_id,workflow_compression_context,organizational_conversion_context,next_scenario_lift,distant_scenario_lift,organizational_adoption_ceiling,economic_pressure_context,wave_acceleration_context,displacement_wave_bias,recomposition_context_confidence,source_mix,notes
occ_27_3042_00,0.5581,0.5702,0.5705,0.7046,0.6565,0.5006,0.5705,0.6133,0.8443,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.250|people_share=0.090|knowledge_share=0.450|job_zone_norm=0.750|adoption_realization_context=0.656|demand_expansion_context=0.365|organizational_adoption_ceiling=0.656|economic_pressure_context=0.501
occ_27_3043_00,0.4920,0.6940,0.6209,0.7578,0.7860,0.4891,0.6209,0.6087,0.8847,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.450|knowledge_share=0.520|job_zone_norm=0.750|adoption_realization_context=0.786|demand_expansion_context=0.652|organizational_adoption_ceiling=0.786|economic_pressure_context=0.489
occ_41_3011_00,0.6220,0.7474,0.7003,0.8524,0.9515,0.4642,0.7003,0.6810,0.8773,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.100|people_share=0.330|knowledge_share=0.570|job_zone_norm=0.750|adoption_realization_context=0.952|demand_expansion_context=0.356|organizational_adoption_ceiling=0.952|economic_pressure_context=0.464
occ_41_3021_00,0.4669,0.5306,0.5257,0.6536,0.5526,0.5637,0.5257,0.5488,0.8814,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.290|people_share=0.550|knowledge_share=0.160|job_zone_norm=0.750|adoption_realization_context=0.553|demand_expansion_context=0.547|organizational_adoption_ceiling=0.553|economic_pressure_context=0.564
occ_41_3031_00,0.3930,0.4445,0.4517,0.5893,0.5222,0.4672,0.4517,0.4668,0.8760,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.130|people_share=0.700|knowledge_share=0.100|job_zone_norm=0.750|adoption_realization_context=0.522|demand_expansion_context=0.402|organizational_adoption_ceiling=0.522|economic_pressure_context=0.467
occ_41_3091_00,0.4337,0.5895,0.5598,0.7070,0.7196,0.5055,0.5598,0.5250,0.8391,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=1.000|knowledge_share=0.000|job_zone_norm=0.250|adoption_realization_context=0.720|demand_expansion_context=0.555|organizational_adoption_ceiling=0.720|economic_pressure_context=0.506
occ_41_4011_00,0.1584,0.2251,0.2486,0.3791,0.2246,0.4267,0.2486,0.2901,0.8865,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.050|people_share=0.880|knowledge_share=0.070|job_zone_norm=0.750|adoption_realization_context=0.144|demand_expansion_context=0.468|organizational_adoption_ceiling=0.225|economic_pressure_context=0.427
occ_43_1011_00,0.4474,0.4071,0.4518,0.5775,0.4086,0.5789,0.4518,0.5274,0.8208,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.440|people_share=0.230|knowledge_share=0.250|job_zone_norm=0.500|adoption_realization_context=0.324|demand_expansion_context=0.442|organizational_adoption_ceiling=0.409|economic_pressure_context=0.579
occ_43_3021_00,0.4810,0.4592,0.4961,0.6224,0.4646,0.6111,0.4961,0.5650,0.8348,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.420|people_share=0.230|knowledge_share=0.180|job_zone_norm=0.500|adoption_realization_context=0.398|demand_expansion_context=0.464|organizational_adoption_ceiling=0.465|economic_pressure_context=0.611
occ_43_3031_00,0.4685,0.4564,0.4914,0.6176,0.4578,0.6149,0.4914,0.5686,0.8486,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.430|people_share=0.140|knowledge_share=0.290|job_zone_norm=0.500|adoption_realization_context=0.355|demand_expansion_context=0.470|organizational_adoption_ceiling=0.458|economic_pressure_context=0.615
occ_43_4031_00,0.7838,0.7176,0.7510,0.8724,0.7211,0.7981,0.7510,0.8046,0.6383,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.750|people_share=0.060|knowledge_share=0.080|job_zone_norm=0.250|adoption_realization_context=0.695|demand_expansion_context=0.571|organizational_adoption_ceiling=0.721|economic_pressure_context=0.798
occ_43_4051_00,0.4095,0.3800,0.4340,0.5607,0.3695,0.6238,0.4340,0.5157,0.8482,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.430|people_share=0.290|knowledge_share=0.140|job_zone_norm=0.250|adoption_realization_context=0.240|demand_expansion_context=0.483|organizational_adoption_ceiling=0.370|economic_pressure_context=0.624
occ_43_4131_00,0.5240,0.4939,0.5210,0.6551,0.5695,0.5162,0.5210,0.5634,0.8679,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.310|people_share=0.310|knowledge_share=0.230|job_zone_norm=0.500|adoption_realization_context=0.570|demand_expansion_context=0.290|organizational_adoption_ceiling=0.570|economic_pressure_context=0.516
occ_43_4171_00,0.5162,0.4324,0.5094,0.6328,0.4016,0.7435,0.5094,0.5970,0.8594,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.730|people_share=0.270|knowledge_share=0.000|job_zone_norm=0.250|adoption_realization_context=0.263|demand_expansion_context=0.568|organizational_adoption_ceiling=0.402|economic_pressure_context=0.743
occ_43_6011_00,0.5281,0.5143,0.5350,0.6593,0.5232,0.5916,0.5350,0.6018,0.8464,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.470|people_share=0.090|knowledge_share=0.430|job_zone_norm=0.500|adoption_realization_context=0.456|demand_expansion_context=0.481|organizational_adoption_ceiling=0.523|economic_pressure_context=0.592
occ_43_6014_00,0.6520,0.4868,0.5897,0.7099,0.4477,0.8337,0.5897,0.6991,0.8463,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=1.000|people_share=0.000|knowledge_share=0.000|job_zone_norm=0.250|adoption_realization_context=0.308|demand_expansion_context=0.522|organizational_adoption_ceiling=0.448|economic_pressure_context=0.834
occ_43_9041_00,0.5621,0.4722,0.5262,0.6491,0.4719,0.6302,0.5262,0.5927,0.8651,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.550|people_share=0.260|knowledge_share=0.080|job_zone_norm=0.250|adoption_realization_context=0.461|demand_expansion_context=0.346|organizational_adoption_ceiling=0.472|economic_pressure_context=0.630
occ_43_9061_00,0.4095,0.3876,0.4317,0.5581,0.3843,0.5838,0.4317,0.5101,0.7901,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.380|people_share=0.250|knowledge_share=0.250|job_zone_norm=0.250|adoption_realization_context=0.268|demand_expansion_context=0.444|organizational_adoption_ceiling=0.384|economic_pressure_context=0.584
occ_43_9111_00,0.7647,0.7474,0.7609,0.8836,0.7575,0.7834,0.7609,0.8115,0.8257,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.720|people_share=0.000|knowledge_share=0.180|job_zone_norm=0.750|adoption_realization_context=0.757|demand_expansion_context=0.537|organizational_adoption_ceiling=0.757|economic_pressure_context=0.783
